r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","CONS_NG",1,2031,82.27
"Atlantis_00A","CONS_NG",1,2032,83.76
"Atlantis_00A","CONS_NG",1,2033,85.31
"Atlantis_00A","CONS_NG",1,2034,86.87
"Atlantis_00A","CONS_NG",1,2035,88.16
"Atlantis_00A","CONS_NG",1,2036,89.76
"Atlantis_00A","CONS_NG",1,2037,91.41
"Atlantis_00A","CONS_NG",1,2038,93.07
"Atlantis_00A","CONS_NG",1,2039,94.79
"Atlantis_00A","CONS_NG",1,2040,96.09
"Atlantis_00A","CONS_NG",1,2041,96.95
"Atlantis_00A","CONS_NG",1,2042,97.83
"Atlantis_00A","CONS_NG",1,2043,98.74
"Atlantis_00A","CONS_NG",1,2044,99.63
"Atlantis_00A","CONS_NG",1,2045,100.54
"Atlantis_00A","CONS_NG",1,2046,101.46
"Atlantis_00A","CONS_NG",1,2047,102.38
"Atlantis_00A","CONS_NG",1,2048,103.33
"Atlantis_00A","CONS_NG",1,2049,104.27
"Atlantis_00A","CONS_NG",1,2050,104.83
"Atlantis_00A","CONS_NG",1,2051,105.79
"Atlantis_00A","CONS_NG",1,2052,106.76
"Atlantis_00A","CONS_NG",1,2053,107.74
"Atlantis_00A","CONS_NG",1,2054,108.73
"Atlantis_00A","CONS_NG",1,2055,109.74
"Atlantis_00A","DIST_IND",1,2014,7.50310045473336
"Atlantis_00A","DIST_IND",1,2015,7.85448532451426
"Atlantis_00A","DIST_IND",1,2016,7.93716411740389
"Atlantis_00A","DIST_IND",1,2017,8.0095080611823
"Atlantis_00A","DIST_IND",1,2018,7.69946258784622
"Atlantis_00A","DIST_IND",1,2019,8.0095080611823
"Atlantis_00A","DIST_IND",1,2020,6.90367920628359
"Atlantis_00A","DIST_IND",1,2021,8.17486564696156
"Atlantis_00A","DIST_IND",1,2022,8.35055808185201
"Atlantis_00A","DIST_IND",1,2023,8.52625051674246
"Atlantis_00A","DIST_IND",1,2024,8.6916081025217
"Atlantis_00A","DIST_IND",1,2025,8.86730053741215
"Atlantis_00A","DIST_IND",1,2026,9.0429929723026
"Atlantis_00A","DIST_IND",1,2027,9.22902025630426
"Atlantis_00A","DIST_IND",1,2028,9.41504754030591
"Atlantis_00A","DIST_IND",1,2029,9.60107482430756
"Atlantis_00A","DIST_IND",1,2030,9.69408846630839
"Atlantis_00A","DIST_IND",1,2031,9.82844150475403
"Atlantis_00A","DIST_IND",1,2032,9.97312939231087
"Atlantis_00A","DIST_IND",1,2033,10.1178172798677
"Atlantis_00A","DIST_IND",1,2034,10.2521703183134
"Atlantis_00A","DIST_IND",1,2035,10.3761885076478
"Atlantis_00A","DIST_IND",1,2036,13.7350144687888
"Atlantis_00A","DIST_IND",1,2037,13.9623811492352
"Atlantis_00A","DIST_IND",1,2038,14.1897478296817
"Atlantis_00A","DIST_IND",1,2039,14.4274493592394
"Atlantis_00A","DIST_IND",1,2040,11.1099627945432
"Atlantis_00A","DIST_IND",1,2041,11.2443158329888
"Atlantis_00A","DIST_IND",1,2042,11.3890037205457
"Atlantis_00A","DIST_IND",1,2043,11.5233567589913
"Atlantis_00A","DIST_IND",1,2044,11.6680446465482
"Atlantis_00A","DIST_IND",1,2045,11.812732534105
"Atlantis_00A","DIST_IND",1,2046,11.9574204216618
"Atlantis_00A","DIST_IND",1,2047,12.1021083092187
"Atlantis_00A","DIST_IND",1,2048,12.2467961967755
"Atlantis_00A","DIST_IND",1,2049,12.4018189334436
"Atlantis_00A","DIST_IND",1,2050,12.474162877222
"Atlantis_00A","DIST_IND",1,2051,12.62918561389
"Atlantis_00A","DIST_IND",1,2052,12.7842083505581
"Atlantis_00A","DIST_IND",1,2053,12.9392310872261
