r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","CONS_BM",2030,0.00267
"Atlantis_00A","CONS_BM",2031,0.00267
"Atlantis_00A","CONS_BM",2032,0.002671
"Atlantis_00A","CONS_BM",2033,0.002671
"Atlantis_00A","CONS_BM",2034,0.002671
"Atlantis_00A","CONS_BM",2035,0.002672
"Atlantis_00A","CONS_BM",2036,0.002719
"Atlantis_00A","CONS_BM",2037,0.002766
"Atlantis_00A","CONS_BM",2038,0.002815
"Atlantis_00A","CONS_BM",2039,0.002865
"Atlantis_00A","CONS_BM",2040,0.002908
"Atlantis_00A","CONS_BM",2041,0.002925
"Atlantis_00A","CONS_BM",2042,0.002943
"Atlantis_00A","CONS_BM",2043,0.00296
"Atlantis_00A","CONS_BM",2044,0.002978
"Atlantis_00A","CONS_BM",2045,0.002996
"Atlantis_00A","CONS_BM",2046,0.003014
"Atlantis_00A","CONS_BM",2047,0.003032
"Atlantis_00A","CONS_BM",2048,0.003052
"Atlantis_00A","CONS_BM",2049,0.003071
"Atlantis_00A","CONS_BM",2050,0.003082
"Atlantis_00A","CONS_BM",2051,0.003101
"Atlantis_00A","CONS_BM",2052,0.00312
"Atlantis_00A","CONS_BM",2053,0.00314
"Atlantis_00A","CONS_BM",2054,0.003159
"Atlantis_00A","CONS_BM",2055,0.003179
"Atlantis_00A","CONS_DS",2014,958.4
"Atlantis_00A","CONS_DS",2015,971.68
"Atlantis_00A","CONS_DS",2016,993.92
"Atlantis_00A","CONS_DS",2017,1083.52
"Atlantis_00A","CONS_DS",2018,1112.8
"Atlantis_00A","CONS_DS",2019,1112.64
"Atlantis_00A","CONS_DS",2020,969.28
"Atlantis_00A","CONS_DS",2021,1149.12
"Atlantis_00A","CONS_DS",2022,1197.76
"Atlantis_00A","CONS_DS",2023,1247.04
"Atlantis_00A","CONS_DS",2024,1301.28
"Atlantis_00A","CONS_DS",2025,1362.24
"Atlantis_00A","CONS_DS",2026,1428.16
"Atlantis_00A","CONS_DS",2027,1481.76
"Atlantis_00A","CONS_DS",2028,1490.08
"Atlantis_00A","CONS_DS",2029,1531.84
"Atlantis_00A","CONS_DS",2030,1570.24
"Atlantis_00A","CONS_DS",2031,1601.12
"Atlantis_00A","CONS_DS",2032,1636.8
"Atlantis_00A","CONS_DS",2033,1673.92
"Atlantis_00A","CONS_DS",2034,1714.72
"Atlantis_00A","CONS_DS",2035,1761.44
"Atlantis_00A","CONS_DS",2036,1805.76
"Atlantis_00A","CONS_DS",2037,1850.08
"Atlantis_00A","CONS_DS",2038,1898.88
"Atlantis_00A","CONS_DS",2039,1948.48
"Atlantis_00A","CONS_DS",2040,1997.92
"Atlantis_00A","CONS_DS",2041,2027.52
"Atlantis_00A","CONS_DS",2042,2065.92
"Atlantis_00A","CONS_DS",2043,2104
"Atlantis_00A","CONS_DS",2044,2141.92
"Atlantis_00A","CONS_DS",2045,2180.16
"Atlantis_00A","CONS_DS",2046,2220
"Atlantis_00A","CONS_DS",2047,2262.24
"Atlantis_00A","CONS_DS",2048,2307.04
"Atlantis_00A","CONS_DS",2049,2349.28
"Atlantis_00A","CONS_DS",2050,2391.68
"Atlantis_00A","CONS_DS",2051,2432.32
"Atlantis_00A","CONS_DS",2052,2471.84
"Atlantis_00A","CONS_DS",2053,2510.4
"Atlantis_00A","CONS_DS",2054,2547.84
"Atlantis_00A","CONS_DS",2055,2584
"Atlantis_00A","CONS_HF",2014,2117.6
"Atlantis_00A","CONS_HF",2015,2195.52
"Atlantis_00A","CONS_HF",2016,2292.96
"Atlantis_00A","CONS_HF",2017,2418.56
"Atlantis_00A","CONS_HF",2018,2493.76
"Atlantis_00A","CONS_HF",2019,2543.84
"Atlantis_00A","CONS_HF",2020,2116.96
"Atlantis_00A","CONS_HF",2021,2620.96
"Atlantis_00A","CONS_HF",2022,2822.24
"Atlantis_00A","CONS_HF",2023,2850.4
"Atlantis_00A","CONS_HF",2024,2878.72
"Atlantis_00A","CONS_HF",2025,2907.84
"Atlantis_00A","CONS_HF",2026,2937.28
"Atlantis_00A","CONS_HF",2027,2967.36
"Atlantis_00A","CONS_HF",2028,2997.92
"Atlantis_00A","CONS_HF",2029,3029.12
"Atlantis_00A","CONS_HF",2030,3046.88
"Atlantis_00A","CONS_HF",2031,3086.08
"Atlantis_00A","CONS_HF",2032,3126.24
"Atlantis_00A","CONS_HF",2033,3167.04
"Atlantis_00A","CONS_HF",2034,3208.64
"Atlantis_00A","CONS_HF",2035,3243.36
"Atlantis_00A","CONS_HF",2036,3272.32
"Atlantis_00A","CONS_HF",2037,3301.92
"Atlantis_00A","CONS_HF",2038,3331.68
"Atlantis_00A","CONS_HF",2039,3362.08
"Atlantis_00A","CONS_HF",2040,3388.8
"Atlantis_00A","CONS_HF",2041,3398.4
"Atlantis_00A","CONS_HF",2042,3408.32
"Atlantis_00A","CONS_HF",2043,3417.92
"Atlantis_00A","CONS_HF",2044,3428
"Atlantis_00A","CONS_HF",2045,3437.92
"Atlantis_00A","CONS_HF",2046,3447.68
"Atlantis_00A","CONS_HF",2047,3457.6
"Atlantis_00A","CONS_HF",2048,3467.68
"Atlantis_00A","CONS_HF",2049,3477.76
"Atlantis_00A","CONS_HF",2050,3485.76
"Atlantis_00A","CONS_HF",2051,3495.84
"Atlantis_00A","CONS_HF",2052,3506.08
"Atlantis_00A","CONS_HF",2053,3516.32
"Atlantis_00A","CONS_HF",2054,3526.72
"Atlantis_00A","CONS_HF",2055,3537.12
