r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","CONS_DS",2031,1035.36
"Atlantis_00A","CONS_DS",2032,980.8
"Atlantis_00A","CONS_DS",2033,926.24
"Atlantis_00A","CONS_DS",2034,871.84
"Atlantis_00A","CONS_DS",2035,817.440000000001
"Atlantis_00A","CONS_DS",2036,762.88
"Atlantis_00A","CONS_DS",2037,708.32
"Atlantis_00A","CONS_DS",2038,653.76
"Atlantis_00A","CONS_DS",2039,599.36
"Atlantis_00A","CONS_DS",2040,544.96
"Atlantis_00A","CONS_DS",2041,490.4
"Atlantis_00A","CONS_DS",2042,435.84
"Atlantis_00A","CONS_DS",2043,381.28
"Atlantis_00A","CONS_DS",2044,327.04
"Atlantis_00A","CONS_DS",2045,272.48
"Atlantis_00A","CONS_DS",2046,217.92
"Atlantis_00A","CONS_DS",2047,163.36
"Atlantis_00A","CONS_DS",2048,109.12
"Atlantis_00A","CONS_DS",2049,54.56
"Atlantis_00A","CONS_DS",2050,0
"Atlantis_00A","CONS_DS",2051,0
"Atlantis_00A","CONS_DS",2052,0
"Atlantis_00A","CONS_DS",2053,0
"Atlantis_00A","CONS_DS",2054,0
"Atlantis_00A","CONS_DS",2055,0
"Atlantis_00A","CONS_HF",2014,2117.6
"Atlantis_00A","CONS_HF",2015,2195.52
"Atlantis_00A","CONS_HF",2016,2292.96
"Atlantis_00A","CONS_HF",2017,2418.56
"Atlantis_00A","CONS_HF",2018,2493.76
"Atlantis_00A","CONS_HF",2019,2543.84
"Atlantis_00A","CONS_HF",2020,2116.96
"Atlantis_00A","CONS_HF",2021,2620.96
"Atlantis_00A","CONS_HF",2022,2822.24
"Atlantis_00A","CONS_HF",2023,2850.4
"Atlantis_00A","CONS_HF",2024,2878.72
"Atlantis_00A","CONS_HF",2025,2907.84
"Atlantis_00A","CONS_HF",2026,2791.36
"Atlantis_00A","CONS_HF",2027,2675.2
"Atlantis_00A","CONS_HF",2028,2558.72
"Atlantis_00A","CONS_HF",2029,2442.56
"Atlantis_00A","CONS_HF",2030,2326.24
"Atlantis_00A","CONS_HF",2031,2210.08
"Atlantis_00A","CONS_HF",2032,2093.44
"Atlantis_00A","CONS_HF",2033,1977.44
"Atlantis_00A","CONS_HF",2034,1861.12
"Atlantis_00A","CONS_HF",2035,1744.64
"Atlantis_00A","CONS_HF",2036,1628.32
"Atlantis_00A","CONS_HF",2037,1512.16
"Atlantis_00A","CONS_HF",2038,1396
"Atlantis_00A","CONS_HF",2039,1279.36
"Atlantis_00A","CONS_HF",2040,1162.88
"Atlantis_00A","CONS_HF",2041,1046.72
"Atlantis_00A","CONS_HF",2042,930.4
"Atlantis_00A","CONS_HF",2043,814.08
"Atlantis_00A","CONS_HF",2044,697.92
"Atlantis_00A","CONS_HF",2045,581.92
"Atlantis_00A","CONS_HF",2046,465.6
"Atlantis_00A","CONS_HF",2047,348.8
"Atlantis_00A","CONS_HF",2048,232.32
"Atlantis_00A","CONS_HF",2049,116.48
"Atlantis_00A","CONS_HF",2050,0
"Atlantis_00A","CONS_HF",2051,0
"Atlantis_00A","CONS_HF",2052,0
"Atlantis_00A","CONS_HF",2053,0
"Atlantis_00A","CONS_HF",2054,0
"Atlantis_00A","CONS_HF",2055,0
"Atlantis_00A","CONS_NG",2014,431.556345
"Atlantis_00A","CONS_NG",2015,441.09936
"Atlantis_00A","CONS_NG",2016,452.197533
"Atlantis_00A","CONS_NG",2017,459.266433
"Atlantis_00A","CONS_NG",2018,471.637008
"Atlantis_00A","CONS_NG",2019,474.605946
"Atlantis_00A","CONS_NG",2020,386.739519
"Atlantis_00A","CONS_NG",2021,461.669859
"Atlantis_00A","CONS_NG",2022,490.228215
"Atlantis_00A","CONS_NG",2023,500.336742
"Atlantis_00A","CONS_NG",2024,510.728025
"Atlantis_00A","CONS_NG",2025,521.260686
"Atlantis_00A","CONS_NG",2026,500.407431
"Atlantis_00A","CONS_NG",2027,479.624865
"Atlantis_00A","CONS_NG",2028,458.77161
"Atlantis_00A","CONS_NG",2029,437.847666
"Atlantis_00A","CONS_NG",2030,417.0651
"Atlantis_00A","CONS_NG",2031,396.211845
"Atlantis_00A","CONS_NG",2032,375.287901
"Atlantis_00A","CONS_NG",2033,354.505335
"Atlantis_00A","CONS_NG",2034,333.581391
"Atlantis_00A","CONS_NG",2035,312.798825
"Atlantis_00A","CONS_NG",2036,291.94557
"Atlantis_00A","CONS_NG",2037,271.092315
"Atlantis_00A","CONS_NG",2038,250.23906
"Atlantis_00A","CONS_NG",2039,229.315116
"Atlantis_00A","CONS_NG",2040,208.461861
"Atlantis_00A","CONS_NG",2041,187.679295
"Atlantis_00A","CONS_NG",2042,166.82604
"Atlantis_00A","CONS_NG",2043,145.902096
"Atlantis_00A","CONS_NG",2044,125.11953
"Atlantis_00A","CONS_NG",2045,104.195586
"Atlantis_00A","CONS_NG",2046,83.483709
"Atlantis_00A","CONS_NG",2047,62.4890759999999
"Atlantis_00A","CONS_NG",2048,41.635821
"Atlantis_00A","CONS_NG",2049,20.853255
"Atlantis_00A","CONS_NG",2050,0
"Atlantis_00A","CONS_NG",2051,0
"Atlantis_00A","CONS_NG",2052,0
"Atlantis_00A","CONS_NG",2053,0
"Atlantis_00A","CONS_NG",2054,0
"Atlantis_00A","CONS_NG",2055,0
"Atlantis_00A","DIST_IND",2014,0.000750310045473336
"Atlantis_00A","DIST_IND",2015,0.000785448532451426
"Atlantis_00A","DIST_IND",2016,0.000793716411740389
"Atlantis_00A","DIST_IND",2017,0.00080095080611823
"Atlantis_00A","DIST_IND",2018,0.000769946258784622
"Atlantis_00A","DIST_IND",2019,0.00080095080611823
"Atlantis_00A","DIST_IND",2020,0.000690367920628359
"Atlantis_00A","DIST_IND",2021,0.000817486564696156
"Atlantis_00A","DIST_IND",2022,0.000835055808185201
"Atlantis_00A","DIST_IND",2023,0.000852625051674246
"Atlantis_00A","DIST_IND",2024,0.00086916081025217
"Atlantis_00A","DIST_IND",2025,0.000886730053741215
"Atlantis_00A","DIST_IND",2026,0.00109756097560976
"Atlantis_00A","DIST_IND",2027,0.00131045886730054
"Atlantis_00A","DIST_IND",2028,0.00152128978916908
"Atlantis_00A","DIST_IND",2029,0.00173315419594874
"Atlantis_00A","DIST_IND",2030,0.00194398511781728
"Atlantis_00A","DIST_IND",2031,0.00215688300950806
"Atlantis_00A","DIST_IND",2032,0.0023677139313766
"Atlantis_00A","DIST_IND",2033,0.00257854485324514
"Atlantis_00A","DIST_IND",2034,0.0027904092600248
"Atlantis_00A","DIST_IND",2035,0.00300227366680446
"Atlantis_00A","DIST_IND",2036,0.00321413807358413
"Atlantis_00A","DIST_IND",2037,0.00342496899545267
"Atlantis_00A","DIST_IND",2038,0.00363786688714345
"Atlantis_00A","DIST_IND",2039,0.00384869780901199
"Atlantis_00A","DIST_IND",2040,0.00405952873088053
"Atlantis_00A","DIST_IND",2041,0.00427139313766019
"Atlantis_00A","DIST_IND",2042,0.00448325754443985
"Atlantis_00A","DIST_IND",2043,0.00469512195121951
"Atlantis_00A","DIST_IND",2044,0.00490595287308805
"Atlantis_00A","DIST_IND",2045,0.00511885076477884
"Atlantis_00A","DIST_IND",2046,0.00532968168664738
"Atlantis_00A","DIST_IND",2047,0.00554051260851592
"Atlantis_00A","DIST_IND",2048,0.00575237701529558
"Atlantis_00A","DIST_IND",2049,0.00596424142207524
"Atlantis_00A","DIST_IND",2050,0.0061761058288549
"Atlantis_00A","DIST_IND",2051,0.00638693675072344
"Atlantis_00A","DIST_IND",2052,0.0065988011575031
"Atlantis_00A","DIST_IND",2053,0.00681066556428276
"Atlantis_00A","DIST_IND",2054,0.0070214964861513
"Atlantis_00A","DIST_IND",2055,0.00723336089293096
"Atlantis_00A","DIST_OTH",2014,0.000305911533691608
"Atlantis_00A","DIST_OTH",2015,0.000325547747002894
"Atlantis_00A","DIST_OTH",2016,0.000335882596114097
"Atlantis_00A","DIST_OTH",2017,0.000335882596114097
"Atlantis_00A","DIST_OTH",2018,0.000320380322447292
"Atlantis_00A","DIST_OTH",2019,0.000317279867713931
"Atlantis_00A","DIST_OTH",2020,0.000294543199669285
"Atlantis_00A","DIST_OTH",2021,0.000393757751136833
"Atlantis_00A","DIST_OTH",2022,0.000398925175692435
"Atlantis_00A","DIST_OTH",2023,0.000404092600248036
"Atlantis_00A","DIST_OTH",2024,0.000409260024803638
"Atlantis_00A","DIST_OTH",2025,0.000414427449359239
"Atlantis_00A","DIST_OTH",2026,0.000443365026870608
"Atlantis_00A","DIST_OTH",2027,0.000472302604381976
"Atlantis_00A","DIST_OTH",2028,0.000502273666804465
"Atlantis_00A","DIST_OTH",2029,0.000531211244315833
"Atlantis_00A","DIST_OTH",2030,0.000560148821827201
