r,t,y,CapitalInvestment
"Atlantis_00A","CONS_DS",2031,0.006471
"Atlantis_00A","CONS_DS",2032,0.00613
"Atlantis_00A","CONS_DS",2033,0.005789
"Atlantis_00A","CONS_DS",2034,0.005449
"Atlantis_00A","CONS_DS",2035,0.005109
"Atlantis_00A","CONS_DS",2036,0.004768
"Atlantis_00A","CONS_DS",2037,0.004427
"Atlantis_00A","CONS_DS",2038,0.004086
"Atlantis_00A","CONS_DS",2039,0.003746
"Atlantis_00A","CONS_DS",2040,0.00352136603650482
"Atlantis_00A","CONS_DS",2041,0.003065
"Atlantis_00A","CONS_DS",2042,0.00286259730876572
"Atlantis_00A","CONS_DS",2043,0.002383
"Atlantis_00A","CONS_DS",2044,0.002336
"Atlantis_00A","CONS_DS",2045,0.00194628571428571
"Atlantis_00A","CONS_DS",2046,0.001362
"Atlantis_00A","CONS_DS",2047,0.001021
"Atlantis_00A","CONS_DS",2048,0.000682
"Atlantis_00A","CONS_DS",2049,0.000341
"Atlantis_00A","CONS_DS",2050,0
"Atlantis_00A","CONS_DS",2051,0
"Atlantis_00A","CONS_DS",2052,0
"Atlantis_00A","CONS_DS",2053,0
"Atlantis_00A","CONS_DS",2054,0
"Atlantis_00A","CONS_DS",2055,0
"Atlantis_00A","CONS_HF",2014,0.013235
"Atlantis_00A","CONS_HF",2015,0.013722
"Atlantis_00A","CONS_HF",2016,0.014331
"Atlantis_00A","CONS_HF",2017,0.015116
"Atlantis_00A","CONS_HF",2018,0.015586
"Atlantis_00A","CONS_HF",2019,0.015899
"Atlantis_00A","CONS_HF",2020,0.013231
"Atlantis_00A","CONS_HF",2021,0.016381
"Atlantis_00A","CONS_HF",2022,0.017639
"Atlantis_00A","CONS_HF",2023,0.017815
"Atlantis_00A","CONS_HF",2024,0.017992
"Atlantis_00A","CONS_HF",2025,0.018174
"Atlantis_00A","CONS_HF",2026,0.017446
"Atlantis_00A","CONS_HF",2027,0.01672
"Atlantis_00A","CONS_HF",2028,0.015992
"Atlantis_00A","CONS_HF",2029,0.015266
"Atlantis_00A","CONS_HF",2030,0.014539
"Atlantis_00A","CONS_HF",2031,0.013813
"Atlantis_00A","CONS_HF",2032,0.013084
"Atlantis_00A","CONS_HF",2033,0.012359
"Atlantis_00A","CONS_HF",2034,0.011632
"Atlantis_00A","CONS_HF",2035,0.010904
"Atlantis_00A","CONS_HF",2036,0.010177
"Atlantis_00A","CONS_HF",2037,0.009451
"Atlantis_00A","CONS_HF",2038,0.008725
"Atlantis_00A","CONS_HF",2039,0.00799599999999999
"Atlantis_00A","CONS_HF",2040,0.007268
"Atlantis_00A","CONS_HF",2041,0.006542
"Atlantis_00A","CONS_HF",2042,0.005815
"Atlantis_00A","CONS_HF",2043,0.005088
"Atlantis_00A","CONS_HF",2044,0.004362
"Atlantis_00A","CONS_HF",2045,0.003637
"Atlantis_00A","CONS_HF",2046,0.00291
"Atlantis_00A","CONS_HF",2047,0.00218
"Atlantis_00A","CONS_HF",2048,0.001452
"Atlantis_00A","CONS_HF",2049,0.000728
"Atlantis_00A","CONS_HF",2050,0
"Atlantis_00A","CONS_HF",2051,0
"Atlantis_00A","CONS_HF",2052,0
"Atlantis_00A","CONS_HF",2053,0
"Atlantis_00A","CONS_HF",2054,0
"Atlantis_00A","CONS_HF",2055,0
"Atlantis_00A","CONS_NG",2014,0.0062107048680086
"Atlantis_00A","CONS_NG",2015,0.00634675127774402
"Atlantis_00A","CONS_NG",2016,0.00650375127774402
"Atlantis_00A","CONS_NG",2017,0.00656189922205497
"Atlantis_00A","CONS_NG",2018,0.00677013209643164
"Atlantis_00A","CONS_NG",2019,0.00681646645413987
"Atlantis_00A","CONS_NG",2020,0.005471
"Atlantis_00A","CONS_NG",2021,0.00665709800943959
"Atlantis_00A","CONS_NG",2022,0.00706109800943958
"Atlantis_00A","CONS_NG",2023,0.00719591988254862
"Atlantis_00A","CONS_NG",2024,0.00745705453379069
"Atlantis_00A","CONS_NG",2025,0.00760605453379068
"Atlantis_00A","CONS_NG",2026,0.00734248189199216
