r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","CONS_DS",2014,0
"Atlantis_00A","CONS_DS",2015,0
"Atlantis_00A","CONS_DS",2016,0
"Atlantis_00A","CONS_DS",2017,0
"Atlantis_00A","CONS_DS",2018,0
"Atlantis_00A","CONS_DS",2019,0
"Atlantis_00A","CONS_DS",2020,0
"Atlantis_00A","CONS_DS",2021,0
"Atlantis_00A","CONS_DS",2022,0
"Atlantis_00A","CONS_DS",2023,0
"Atlantis_00A","CONS_DS",2024,25.4366957178736
"Atlantis_00A","CONS_DS",2025,24.7918727798341
"Atlantis_00A","CONS_DS",2026,21.1336963252971
"Atlantis_00A","CONS_DS",2027,17.98658436345
"Atlantis_00A","CONS_DS",2028,15.2706576763194
"Atlantis_00A","CONS_DS",2029,12.9432016578647
"Atlantis_00A","CONS_DS",2030,10.9465482666177
"Atlantis_00A","CONS_DS",2031,9.23414615736509
"Atlantis_00A","CONS_DS",2032,7.76905224514008
"Atlantis_00A","CONS_DS",2033,6.51294883548139
"Atlantis_00A","CONS_DS",2034,5.44324436042701
"Atlantis_00A","CONS_DS",2035,4.53236611388135
"Atlantis_00A","CONS_DS",2036,3.75570516327447
"Atlantis_00A","CONS_DS",2037,3.09660852738279
"Atlantis_00A","CONS_DS",2038,2.53746241770102
"Atlantis_00A","CONS_DS",2039,2.06550854499086
"Atlantis_00A","CONS_DS",2040,1.66756131447689
"Atlantis_00A","CONS_DS",2041,1.3324568298325
"Atlantis_00A","CONS_DS",2042,1.05150523730014
"Atlantis_00A","CONS_DS",2043,0.816762526327246
"Atlantis_00A","CONS_DS",2044,0.622172776114031
"Atlantis_00A","CONS_DS",2045,0.460206503173568
"Atlantis_00A","CONS_DS",2046,0.326806889834327
"Atlantis_00A","CONS_DS",2047,0.217554135454236
"Atlantis_00A","CONS_DS",2048,0.129029166767211
"Atlantis_00A","CONS_DS",2049,0.0572859358468237
"Atlantis_00A","CONS_DS",2050,0
"Atlantis_00A","CONS_DS",2051,0
"Atlantis_00A","CONS_DS",2052,0
"Atlantis_00A","CONS_DS",2053,0
"Atlantis_00A","CONS_DS",2054,0
"Atlantis_00A","CONS_DS",2055,0
"Atlantis_00A","CONS_HF",2014,0
"Atlantis_00A","CONS_HF",2015,0
"Atlantis_00A","CONS_HF",2016,0
"Atlantis_00A","CONS_HF",2017,0
"Atlantis_00A","CONS_HF",2018,0
"Atlantis_00A","CONS_HF",2019,0
"Atlantis_00A","CONS_HF",2020,0
"Atlantis_00A","CONS_HF",2021,0
"Atlantis_00A","CONS_HF",2022,0
"Atlantis_00A","CONS_HF",2023,0
"Atlantis_00A","CONS_HF",2024,52.484828909106
"Atlantis_00A","CONS_HF",2025,49.3594865458221
"Atlantis_00A","CONS_HF",2026,42.0759812330815
"Atlantis_00A","CONS_HF",2027,35.8097481349689
"Atlantis_00A","CONS_HF",2028,30.4023514339697
"Atlantis_00A","CONS_HF",2029,25.7717920543656
"Atlantis_00A","CONS_HF",2030,21.7944178687096
"Atlantis_00A","CONS_HF",2031,18.3847520522927
"Atlantis_00A","CONS_HF",2032,15.4665170181643
"Atlantis_00A","CONS_HF",2033,12.9688620288574
"Atlantis_00A","CONS_HF",2034,10.8377676943051
"Atlantis_00A","CONS_HF",2035,9.02234323597346
"Atlantis_00A","CONS_HF",2036,7.4768632890548
"Atlantis_00A","CONS_HF",2037,6.16593535881168
"Atlantis_00A","CONS_HF",2038,5.05371926163128
"Atlantis_00A","CONS_HF",2039,4.11222083591457
"Atlantis_00A","CONS_HF",2040,3.31891788384575
"Atlantis_00A","CONS_HF",2041,2.65263581506551
"Atlantis_00A","CONS_HF",2042,2.09362298127897
"Atlantis_00A","CONS_HF",2043,1.62653452061425
"Atlantis_00A","CONS_HF",2044,1.23839786542677
"Atlantis_00A","CONS_HF",2045,0.916697032206873
"Atlantis_00A","CONS_HF",2046,0.651255653101585
"Atlantis_00A","CONS_HF",2047,0.433253934661651
"Atlantis_00A","CONS_HF",2048,0.25622090173224
"Atlantis_00A","CONS_HF",2049,0.114069472568867
"Atlantis_00A","CONS_HF",2050,0
"Atlantis_00A","CONS_HF",2051,0
"Atlantis_00A","CONS_HF",2052,0
"Atlantis_00A","CONS_HF",2053,0
"Atlantis_00A","CONS_HF",2054,0
"Atlantis_00A","CONS_HF",2055,0
"Atlantis_00A","CONS_NG",2014,0
"Atlantis_00A","CONS_NG",2015,0
"Atlantis_00A","CONS_NG",2016,0
"Atlantis_00A","CONS_NG",2017,0
"Atlantis_00A","CONS_NG",2018,0
"Atlantis_00A","CONS_NG",2019,0
"Atlantis_00A","CONS_NG",2020,0
"Atlantis_00A","CONS_NG",2021,0
"Atlantis_00A","CONS_NG",2022,0
"Atlantis_00A","CONS_NG",2023,0
"Atlantis_00A","CONS_NG",2024,17.0920941248844
"Atlantis_00A","CONS_NG",2025,16.241507009074
"Atlantis_00A","CONS_NG",2026,13.8456509201784
"Atlantis_00A","CONS_NG",2027,11.7846835835991
"Atlantis_00A","CONS_NG",2028,10.0058081505789
"Atlantis_00A","CONS_NG",2029,8.47995685093189
"Atlantis_00A","CONS_NG",2030,7.17242192582754
"Atlantis_00A","CONS_NG",2031,6.04990371935034
"Atlantis_00A","CONS_NG",2032,5.08941416980017
"Atlantis_00A","CONS_NG",2033,4.26768696150792
"Atlantis_00A","CONS_NG",2034,3.5656482876487
"Atlantis_00A","CONS_NG",2035,2.96927114616194
"Atlantis_00A","CONS_NG",2036,2.46066673354831
"Atlantis_00A","CONS_NG",2037,2.02903553740865
"Atlantis_00A","CONS_NG",2038,1.66284596213964
"Atlantis_00A","CONS_NG",2039,1.35296814138297
"Atlantis_00A","CONS_NG",2040,1.09209254423652
"Atlantis_00A","CONS_NG",2041,0.873041112531039
"Atlantis_00A","CONS_NG",2042,0.689070792070051
"Atlantis_00A","CONS_NG",2043,0.53509261380876
"Atlantis_00A","CONS_NG",2044,0.407521832808543
"Atlantis_00A","CONS_NG",2045,0.301288870128596
