r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","CONS_DS",1,2042,27.24
"Atlantis_00A","CONS_DS",1,2043,23.83
"Atlantis_00A","CONS_DS",1,2044,20.44
"Atlantis_00A","CONS_DS",1,2045,17.03
"Atlantis_00A","CONS_DS",1,2046,13.62
"Atlantis_00A","CONS_DS",1,2047,10.21
"Atlantis_00A","CONS_DS",1,2048,6.82
"Atlantis_00A","CONS_DS",1,2049,3.41
"Atlantis_00A","CONS_DS",1,2050,0
"Atlantis_00A","CONS_DS",1,2051,0
"Atlantis_00A","CONS_DS",1,2052,0
"Atlantis_00A","CONS_DS",1,2053,0
"Atlantis_00A","CONS_DS",1,2054,0
"Atlantis_00A","CONS_DS",1,2055,0
"Atlantis_00A","CONS_HF",1,2014,132.35
"Atlantis_00A","CONS_HF",1,2015,137.22
"Atlantis_00A","CONS_HF",1,2016,143.31
"Atlantis_00A","CONS_HF",1,2017,151.16
"Atlantis_00A","CONS_HF",1,2018,155.86
"Atlantis_00A","CONS_HF",1,2019,158.99
"Atlantis_00A","CONS_HF",1,2020,132.31
"Atlantis_00A","CONS_HF",1,2021,163.81
"Atlantis_00A","CONS_HF",1,2022,176.39
"Atlantis_00A","CONS_HF",1,2023,178.15
"Atlantis_00A","CONS_HF",1,2024,179.92
"Atlantis_00A","CONS_HF",1,2025,181.74
"Atlantis_00A","CONS_HF",1,2026,174.46
"Atlantis_00A","CONS_HF",1,2027,167.2
"Atlantis_00A","CONS_HF",1,2028,159.92
"Atlantis_00A","CONS_HF",1,2029,152.66
"Atlantis_00A","CONS_HF",1,2030,145.39
"Atlantis_00A","CONS_HF",1,2031,138.13
"Atlantis_00A","CONS_HF",1,2032,130.84
"Atlantis_00A","CONS_HF",1,2033,123.59
"Atlantis_00A","CONS_HF",1,2034,116.32
"Atlantis_00A","CONS_HF",1,2035,109.04
"Atlantis_00A","CONS_HF",1,2036,101.77
"Atlantis_00A","CONS_HF",1,2037,94.51
"Atlantis_00A","CONS_HF",1,2038,87.25
"Atlantis_00A","CONS_HF",1,2039,79.9599999999999
"Atlantis_00A","CONS_HF",1,2040,72.68
"Atlantis_00A","CONS_HF",1,2041,65.42
"Atlantis_00A","CONS_HF",1,2042,58.15
"Atlantis_00A","CONS_HF",1,2043,50.88
"Atlantis_00A","CONS_HF",1,2044,43.62
"Atlantis_00A","CONS_HF",1,2045,36.37
"Atlantis_00A","CONS_HF",1,2046,29.1
"Atlantis_00A","CONS_HF",1,2047,21.8
"Atlantis_00A","CONS_HF",1,2048,14.52
"Atlantis_00A","CONS_HF",1,2049,7.28
"Atlantis_00A","CONS_HF",1,2050,0
"Atlantis_00A","CONS_HF",1,2051,0
"Atlantis_00A","CONS_HF",1,2052,0
"Atlantis_00A","CONS_HF",1,2053,0
"Atlantis_00A","CONS_HF",1,2054,0
"Atlantis_00A","CONS_HF",1,2055,0
"Atlantis_00A","CONS_NG",1,2014,61.05
"Atlantis_00A","CONS_NG",1,2015,62.4
"Atlantis_00A","CONS_NG",1,2016,63.97
"Atlantis_00A","CONS_NG",1,2017,64.97
"Atlantis_00A","CONS_NG",1,2018,66.72
"Atlantis_00A","CONS_NG",1,2019,67.14
"Atlantis_00A","CONS_NG",1,2020,54.71
"Atlantis_00A","CONS_NG",1,2021,65.31
"Atlantis_00A","CONS_NG",1,2022,69.35
"Atlantis_00A","CONS_NG",1,2023,70.78
"Atlantis_00A","CONS_NG",1,2024,72.25
"Atlantis_00A","CONS_NG",1,2025,73.74
"Atlantis_00A","CONS_NG",1,2026,70.79
"Atlantis_00A","CONS_NG",1,2027,67.85
"Atlantis_00A","CONS_NG",1,2028,64.9
"Atlantis_00A","CONS_NG",1,2029,61.94
"Atlantis_00A","CONS_NG",1,2030,59
"Atlantis_00A","CONS_NG",1,2031,56.05
"Atlantis_00A","CONS_NG",1,2032,53.09
"Atlantis_00A","CONS_NG",1,2033,50.15
"Atlantis_00A","CONS_NG",1,2034,47.19
"Atlantis_00A","CONS_NG",1,2035,44.25
"Atlantis_00A","CONS_NG",1,2036,41.3
"Atlantis_00A","CONS_NG",1,2037,38.35
"Atlantis_00A","CONS_NG",1,2038,35.4
"Atlantis_00A","CONS_NG",1,2039,32.44
"Atlantis_00A","CONS_NG",1,2040,29.49
"Atlantis_00A","CONS_NG",1,2041,26.55
"Atlantis_00A","CONS_NG",1,2042,23.6
"Atlantis_00A","CONS_NG",1,2043,20.64
"Atlantis_00A","CONS_NG",1,2044,17.7
"Atlantis_00A","CONS_NG",1,2045,14.74
"Atlantis_00A","CONS_NG",1,2046,11.81
"Atlantis_00A","CONS_NG",1,2047,8.83999999999998
"Atlantis_00A","CONS_NG",1,2048,5.89
"Atlantis_00A","CONS_NG",1,2049,2.95
"Atlantis_00A","CONS_NG",1,2050,0
"Atlantis_00A","CONS_NG",1,2051,0
"Atlantis_00A","CONS_NG",1,2052,0
"Atlantis_00A","CONS_NG",1,2053,0
"Atlantis_00A","CONS_NG",1,2054,0
"Atlantis_00A","CONS_NG",1,2055,0
"Atlantis_00A","DIST_IND",1,2014,7.50310045473336
"Atlantis_00A","DIST_IND",1,2015,7.85448532451426
"Atlantis_00A","DIST_IND",1,2016,7.93716411740389
"Atlantis_00A","DIST_IND",1,2017,8.0095080611823
"Atlantis_00A","DIST_IND",1,2018,7.69946258784622
"Atlantis_00A","DIST_IND",1,2019,8.0095080611823
"Atlantis_00A","DIST_IND",1,2020,6.90367920628359
"Atlantis_00A","DIST_IND",1,2021,8.17486564696156
"Atlantis_00A","DIST_IND",1,2022,8.35055808185201
"Atlantis_00A","DIST_IND",1,2023,8.52625051674246
"Atlantis_00A","DIST_IND",1,2024,8.6916081025217
"Atlantis_00A","DIST_IND",1,2025,8.86730053741215
"Atlantis_00A","DIST_IND",1,2026,10.9756097560976
"Atlantis_00A","DIST_IND",1,2027,13.1045886730054
"Atlantis_00A","DIST_IND",1,2028,15.2128978916908
"Atlantis_00A","DIST_IND",1,2029,17.3315419594874
"Atlantis_00A","DIST_IND",1,2030,19.4398511781728
"Atlantis_00A","DIST_IND",1,2031,21.5688300950806
"Atlantis_00A","DIST_IND",1,2032,23.677139313766
"Atlantis_00A","DIST_IND",1,2033,25.7854485324514
"Atlantis_00A","DIST_IND",1,2034,27.904092600248
"Atlantis_00A","DIST_IND",1,2035,30.0227366680446
"Atlantis_00A","DIST_IND",1,2036,32.1413807358413
"Atlantis_00A","DIST_IND",1,2037,34.2496899545267
"Atlantis_00A","DIST_IND",1,2038,36.3786688714345
"Atlantis_00A","DIST_IND",1,2039,38.4869780901199
"Atlantis_00A","DIST_IND",1,2040,40.5952873088053
"Atlantis_00A","DIST_IND",1,2041,42.7139313766019
"Atlantis_00A","DIST_IND",1,2042,44.8325754443985
"Atlantis_00A","DIST_IND",1,2043,46.9512195121951
"Atlantis_00A","DIST_IND",1,2044,49.0595287308805
"Atlantis_00A","DIST_IND",1,2045,51.1885076477883
"Atlantis_00A","DIST_IND",1,2046,53.2968168664738
"Atlantis_00A","DIST_IND",1,2047,55.4051260851592
"Atlantis_00A","DIST_IND",1,2048,57.5237701529558
"Atlantis_00A","DIST_IND",1,2049,59.6424142207524
"Atlantis_00A","DIST_IND",1,2050,61.761058288549
"Atlantis_00A","DIST_IND",1,2051,63.8693675072344
"Atlantis_00A","DIST_IND",1,2052,65.988011575031
"Atlantis_00A","DIST_IND",1,2053,68.1066556428276
"Atlantis_00A","DIST_IND",1,2054,70.214964861513
"Atlantis_00A","DIST_IND",1,2055,72.3336089293096
"Atlantis_00A","DIST_OTH",1,2014,3.05911533691608
"Atlantis_00A","DIST_OTH",1,2015,3.25547747002894
"Atlantis_00A","DIST_OTH",1,2016,3.35882596114097
"Atlantis_00A","DIST_OTH",1,2017,3.35882596114097
"Atlantis_00A","DIST_OTH",1,2018,3.20380322447292
"Atlantis_00A","DIST_OTH",1,2019,3.17279867713931
"Atlantis_00A","DIST_OTH",1,2020,2.94543199669285
"Atlantis_00A","DIST_OTH",1,2021,3.93757751136833
"Atlantis_00A","DIST_OTH",1,2022,3.98925175692435
"Atlantis_00A","DIST_OTH",1,2023,4.04092600248036
"Atlantis_00A","DIST_OTH",1,2024,4.09260024803638
"Atlantis_00A","DIST_OTH",1,2025,4.14427449359239
"Atlantis_00A","DIST_OTH",1,2026,4.43365026870608
"Atlantis_00A","DIST_OTH",1,2027,4.72302604381976
"Atlantis_00A","DIST_OTH",1,2028,5.02273666804465
"Atlantis_00A","DIST_OTH",1,2029,5.31211244315833
"Atlantis_00A","DIST_OTH",1,2030,5.60148821827201
"Atlantis_00A","DIST_OTH",1,2031,5.8908639933857
"Atlantis_00A","DIST_OTH",1,2032,6.18023976849938
"Atlantis_00A","DIST_OTH",1,2033,6.46961554361306
"Atlantis_00A","DIST_OTH",1,2034,6.76932616783795
"Atlantis_00A","DIST_OTH",1,2035,7.05870194295163
"Atlantis_00A","DIST_OTH",1,2036,7.34807771806532
"Atlantis_00A","DIST_OTH",1,2037,7.637453493179
"Atlantis_00A","DIST_OTH",1,2038,7.92682926829268
"Atlantis_00A","DIST_OTH",1,2039,8.22653989251757
"Atlantis_00A","DIST_OTH",1,2040,8.51591566763125
"Atlantis_00A","DIST_OTH",1,2041,8.81562629185614
"Atlantis_00A","DIST_OTH",1,2042,9.10500206696982
"Atlantis_00A","DIST_OTH",1,2043,9.39437784208351
"Atlantis_00A","DIST_OTH",1,2044,9.68375361719719
"Atlantis_00A","DIST_OTH",1,2045,9.97312939231087
"Atlantis_00A","DIST_OTH",1,2046,10.2728400165358
"Atlantis_00A","DIST_OTH",1,2047,10.5622157916494
"Atlantis_00A","DIST_OTH",1,2048,10.8515915667631
