r,t,y,TotalCapacityAnnual
"Atlantis_00A","CONS_BM",2055,45.76
"Atlantis_00A","CONS_DS",2014,59.9
"Atlantis_00A","CONS_DS",2015,60.73
"Atlantis_00A","CONS_DS",2016,62.12
"Atlantis_00A","CONS_DS",2017,67.72
"Atlantis_00A","CONS_DS",2018,69.55
"Atlantis_00A","CONS_DS",2019,69.54
"Atlantis_00A","CONS_DS",2020,60.58
"Atlantis_00A","CONS_DS",2021,71.82
"Atlantis_00A","CONS_DS",2022,74.86
"Atlantis_00A","CONS_DS",2023,77.94
"Atlantis_00A","CONS_DS",2024,81.33
"Atlantis_00A","CONS_DS",2025,85.14
"Atlantis_00A","CONS_DS",2026,81.73
"Atlantis_00A","CONS_DS",2027,78.33
"Atlantis_00A","CONS_DS",2028,74.92
"Atlantis_00A","CONS_DS",2029,71.51
"Atlantis_00A","CONS_DS",2030,68.11
"Atlantis_00A","CONS_DS",2031,64.71
"Atlantis_00A","CONS_DS",2032,61.3
"Atlantis_00A","CONS_DS",2033,57.89
"Atlantis_00A","CONS_DS",2034,54.49
"Atlantis_00A","CONS_DS",2035,51.09
"Atlantis_00A","CONS_DS",2036,47.68
"Atlantis_00A","CONS_DS",2037,44.27
"Atlantis_00A","CONS_DS",2038,40.86
"Atlantis_00A","CONS_DS",2039,37.46
"Atlantis_00A","CONS_DS",2040,35.2136603650482
"Atlantis_00A","CONS_DS",2041,30.65
"Atlantis_00A","CONS_DS",2042,28.6259730876572
"Atlantis_00A","CONS_DS",2043,23.83
"Atlantis_00A","CONS_DS",2044,23.36
"Atlantis_00A","CONS_DS",2045,19.4628571428571
"Atlantis_00A","CONS_DS",2046,13.62
"Atlantis_00A","CONS_DS",2047,10.21
"Atlantis_00A","CONS_DS",2048,6.82
"Atlantis_00A","CONS_DS",2049,3.41
"Atlantis_00A","CONS_DS",2050,0
"Atlantis_00A","CONS_DS",2051,0
"Atlantis_00A","CONS_DS",2052,0
"Atlantis_00A","CONS_DS",2053,0
"Atlantis_00A","CONS_DS",2054,0
"Atlantis_00A","CONS_DS",2055,0
"Atlantis_00A","CONS_HF",2014,132.35
"Atlantis_00A","CONS_HF",2015,137.22
"Atlantis_00A","CONS_HF",2016,143.31
"Atlantis_00A","CONS_HF",2017,151.16
"Atlantis_00A","CONS_HF",2018,155.86
"Atlantis_00A","CONS_HF",2019,158.99
"Atlantis_00A","CONS_HF",2020,132.31
"Atlantis_00A","CONS_HF",2021,163.81
"Atlantis_00A","CONS_HF",2022,176.39
"Atlantis_00A","CONS_HF",2023,178.15
"Atlantis_00A","CONS_HF",2024,179.92
"Atlantis_00A","CONS_HF",2025,181.74
"Atlantis_00A","CONS_HF",2026,174.46
"Atlantis_00A","CONS_HF",2027,167.2
"Atlantis_00A","CONS_HF",2028,159.92
"Atlantis_00A","CONS_HF",2029,152.66
"Atlantis_00A","CONS_HF",2030,145.39
"Atlantis_00A","CONS_HF",2031,138.13
"Atlantis_00A","CONS_HF",2032,130.84
"Atlantis_00A","CONS_HF",2033,123.59
"Atlantis_00A","CONS_HF",2034,116.32
"Atlantis_00A","CONS_HF",2035,109.04
"Atlantis_00A","CONS_HF",2036,101.77
"Atlantis_00A","CONS_HF",2037,94.51
"Atlantis_00A","CONS_HF",2038,87.25
"Atlantis_00A","CONS_HF",2039,79.9599999999999
"Atlantis_00A","CONS_HF",2040,72.68
"Atlantis_00A","CONS_HF",2041,65.42
"Atlantis_00A","CONS_HF",2042,58.15
"Atlantis_00A","CONS_HF",2043,50.88
"Atlantis_00A","CONS_HF",2044,43.62
"Atlantis_00A","CONS_HF",2045,36.37
"Atlantis_00A","CONS_HF",2046,29.1
"Atlantis_00A","CONS_HF",2047,21.8
"Atlantis_00A","CONS_HF",2048,14.52
"Atlantis_00A","CONS_HF",2049,7.28
"Atlantis_00A","CONS_HF",2050,0
"Atlantis_00A","CONS_HF",2051,0
"Atlantis_00A","CONS_HF",2052,0
"Atlantis_00A","CONS_HF",2053,0
"Atlantis_00A","CONS_HF",2054,0
