r,t,y,NewCapacity
"Atlantis_00A","CONS_BM",2029,26.8508845812
"Atlantis_00A","CONS_BM",2030,27.0608845812
"Atlantis_00A","CONS_BM",2031,27.0608845812
"Atlantis_00A","CONS_BM",2032,27.0708845812
"Atlantis_00A","CONS_BM",2033,27.0708845812
"Atlantis_00A","CONS_BM",2034,27.0708845812
"Atlantis_00A","CONS_BM",2035,27.0808845812
"Atlantis_00A","CONS_BM",2036,27.19
"Atlantis_00A","CONS_BM",2037,27.66
"Atlantis_00A","CONS_BM",2038,28.15
"Atlantis_00A","CONS_BM",2039,28.65
"Atlantis_00A","CONS_BM",2040,29.08
"Atlantis_00A","CONS_BM",2041,29.25
"Atlantis_00A","CONS_BM",2042,29.43
"Atlantis_00A","CONS_BM",2043,29.6
"Atlantis_00A","CONS_BM",2044,29.78
"Atlantis_00A","CONS_BM",2045,29.96
"Atlantis_00A","CONS_BM",2046,30.14
"Atlantis_00A","CONS_BM",2047,30.32
"Atlantis_00A","CONS_BM",2048,30.52
"Atlantis_00A","CONS_BM",2049,30.71
"Atlantis_00A","CONS_BM",2050,30.82
"Atlantis_00A","CONS_BM",2051,31.01
"Atlantis_00A","CONS_BM",2052,31.2
"Atlantis_00A","CONS_BM",2053,31.4
"Atlantis_00A","CONS_BM",2054,31.59
"Atlantis_00A","CONS_BM",2055,31.79
"Atlantis_00A","CONS_DS",2014,59.9
"Atlantis_00A","CONS_DS",2015,60.73
"Atlantis_00A","CONS_DS",2016,62.12
"Atlantis_00A","CONS_DS",2017,67.72
"Atlantis_00A","CONS_DS",2018,69.55
"Atlantis_00A","CONS_DS",2019,69.54
"Atlantis_00A","CONS_DS",2020,60.58
"Atlantis_00A","CONS_DS",2021,71.82
"Atlantis_00A","CONS_DS",2022,74.86
"Atlantis_00A","CONS_DS",2023,77.94
"Atlantis_00A","CONS_DS",2024,81.33
"Atlantis_00A","CONS_DS",2025,85.14
"Atlantis_00A","CONS_DS",2026,89.26
"Atlantis_00A","CONS_DS",2027,92.61
"Atlantis_00A","CONS_DS",2028,93.1299999999999
"Atlantis_00A","CONS_DS",2029,95.74
"Atlantis_00A","CONS_DS",2030,98.14
"Atlantis_00A","CONS_DS",2031,100.07
"Atlantis_00A","CONS_DS",2032,102.3
"Atlantis_00A","CONS_DS",2033,104.62
"Atlantis_00A","CONS_DS",2034,107.17
"Atlantis_00A","CONS_DS",2035,110.09
"Atlantis_00A","CONS_DS",2036,112.86
"Atlantis_00A","CONS_DS",2037,115.63
"Atlantis_00A","CONS_DS",2038,118.68
"Atlantis_00A","CONS_DS",2039,121.78
"Atlantis_00A","CONS_DS",2040,124.87
"Atlantis_00A","CONS_DS",2041,126.72
"Atlantis_00A","CONS_DS",2042,129.12
"Atlantis_00A","CONS_DS",2043,131.5
"Atlantis_00A","CONS_DS",2044,133.87
"Atlantis_00A","CONS_DS",2045,136.26
"Atlantis_00A","CONS_DS",2046,138.75
"Atlantis_00A","CONS_DS",2047,141.39
"Atlantis_00A","CONS_DS",2048,144.19
"Atlantis_00A","CONS_DS",2049,146.83
"Atlantis_00A","CONS_DS",2050,149.48
"Atlantis_00A","CONS_DS",2051,152.02
"Atlantis_00A","CONS_DS",2052,154.49
"Atlantis_00A","CONS_DS",2053,209.2
"Atlantis_00A","CONS_DS",2054,254.784
"Atlantis_00A","CONS_DS",2055,258.4
"Atlantis_00A","CONS_HF",2014,132.35
"Atlantis_00A","CONS_HF",2015,137.22
"Atlantis_00A","CONS_HF",2016,143.31
"Atlantis_00A","CONS_HF",2017,151.16
"Atlantis_00A","CONS_HF",2018,155.86
"Atlantis_00A","CONS_HF",2019,158.99
"Atlantis_00A","CONS_HF",2020,132.31
"Atlantis_00A","CONS_HF",2021,163.81
"Atlantis_00A","CONS_HF",2022,176.39
"Atlantis_00A","CONS_HF",2023,178.15
"Atlantis_00A","CONS_HF",2024,179.92
"Atlantis_00A","CONS_HF",2025,181.74
"Atlantis_00A","CONS_HF",2026,183.58
"Atlantis_00A","CONS_HF",2027,185.46
