r,rr,l,f,y,Trade
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2045,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2046,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2047,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2048,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2049,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2050,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2051,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2052,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2053,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2054,0
"Atlantis_00A","Atlantis_00A","ID","BM_Distribution",2055,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2014,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2015,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2016,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2017,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2018,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2019,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2020,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2021,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2022,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2023,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2024,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2025,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2026,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2027,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2028,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2029,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2030,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2031,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2032,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2033,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2034,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2035,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2036,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2037,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2038,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2039,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2040,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2041,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2042,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2043,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2044,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2045,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2046,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2047,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2048,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2049,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2050,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2051,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2052,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2053,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2054,0
"Atlantis_00A","Atlantis_00A","ID","BM_Industry",2055,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2014,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2015,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2016,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2017,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2018,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2019,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2020,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2021,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2022,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2023,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2024,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2025,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2026,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2027,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2028,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2029,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2030,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2031,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2032,0
"Atlantis_00A","Atlantis_00A","ID","BM_Residential",2033,0
