r,l,t,m,y,RateOfActivity
"Atlantis_00A","ID","BM_SC",1,2047,0
"Atlantis_00A","ID","BM_SC",1,2048,0
"Atlantis_00A","ID","BM_SC",1,2049,0
"Atlantis_00A","ID","BM_SC",1,2050,0
"Atlantis_00A","ID","BM_SC",1,2051,0
"Atlantis_00A","ID","BM_SC",1,2052,0
"Atlantis_00A","ID","BM_SC",1,2053,0
"Atlantis_00A","ID","BM_SC",1,2054,0
"Atlantis_00A","ID","BM_SC",1,2055,0
"Atlantis_00A","ID","CONS_BM",1,2014,31.61528944
"Atlantis_00A","ID","CONS_BM",1,2015,29.63528944
"Atlantis_00A","ID","CONS_BM",1,2016,31.54528944
"Atlantis_00A","ID","CONS_BM",1,2017,33.53528944
"Atlantis_00A","ID","CONS_BM",1,2018,33.26528944
"Atlantis_00A","ID","CONS_BM",1,2019,27.83528944
"Atlantis_00A","ID","CONS_BM",1,2020,31.27528944
"Atlantis_00A","ID","CONS_BM",1,2021,23.57528944
"Atlantis_00A","ID","CONS_BM",1,2022,24.54528944
"Atlantis_00A","ID","CONS_BM",1,2023,24.80517640992
"Atlantis_00A","ID","CONS_BM",1,2024,25.4219115372
"Atlantis_00A","ID","CONS_BM",1,2025,25.7119115372
"Atlantis_00A","ID","CONS_BM",1,2026,26.0019115372
"Atlantis_00A","ID","CONS_BM",1,2027,26.3019115372
"Atlantis_00A","ID","CONS_BM",1,2028,26.5408845812
"Atlantis_00A","ID","CONS_BM",1,2029,26.8508845812
"Atlantis_00A","ID","CONS_BM",1,2030,27.0608845812
"Atlantis_00A","ID","CONS_BM",1,2031,27.0608845812
"Atlantis_00A","ID","CONS_BM",1,2032,27.0708845812
"Atlantis_00A","ID","CONS_BM",1,2033,27.0708845812
"Atlantis_00A","ID","CONS_BM",1,2034,27.0708845812
"Atlantis_00A","ID","CONS_BM",1,2035,27.0808845812
"Atlantis_00A","ID","CONS_BM",1,2036,27.19
"Atlantis_00A","ID","CONS_BM",1,2037,27.66
"Atlantis_00A","ID","CONS_BM",1,2038,28.15
"Atlantis_00A","ID","CONS_BM",1,2039,28.65
"Atlantis_00A","ID","CONS_BM",1,2040,29.08
"Atlantis_00A","ID","CONS_BM",1,2041,29.25
"Atlantis_00A","ID","CONS_BM",1,2042,29.43
"Atlantis_00A","ID","CONS_BM",1,2043,29.6
"Atlantis_00A","ID","CONS_BM",1,2044,29.78
"Atlantis_00A","ID","CONS_BM",1,2045,29.96
"Atlantis_00A","ID","CONS_BM",1,2046,30.14
"Atlantis_00A","ID","CONS_BM",1,2047,30.32
"Atlantis_00A","ID","CONS_BM",1,2048,30.52
"Atlantis_00A","ID","CONS_BM",1,2049,30.71
"Atlantis_00A","ID","CONS_BM",1,2050,30.82
"Atlantis_00A","ID","CONS_BM",1,2051,31.01
"Atlantis_00A","ID","CONS_BM",1,2052,31.2
"Atlantis_00A","ID","CONS_BM",1,2053,31.4
"Atlantis_00A","ID","CONS_BM",1,2054,31.59
"Atlantis_00A","ID","CONS_BM",1,2055,31.79
"Atlantis_00A","ID","CONS_DS",1,2014,59.9
"Atlantis_00A","ID","CONS_DS",1,2015,60.7299999999999
"Atlantis_00A","ID","CONS_DS",1,2016,62.12
"Atlantis_00A","ID","CONS_DS",1,2017,67.72
"Atlantis_00A","ID","CONS_DS",1,2018,69.55
"Atlantis_00A","ID","CONS_DS",1,2019,69.54
"Atlantis_00A","ID","CONS_DS",1,2020,60.58
"Atlantis_00A","ID","CONS_DS",1,2021,71.82
"Atlantis_00A","ID","CONS_DS",1,2022,74.86
"Atlantis_00A","ID","CONS_DS",1,2023,77.94
"Atlantis_00A","ID","CONS_DS",1,2024,81.3299999999999
"Atlantis_00A","ID","CONS_DS",1,2025,85.14
"Atlantis_00A","ID","CONS_DS",1,2026,89.26
"Atlantis_00A","ID","CONS_DS",1,2027,92.61
"Atlantis_00A","ID","CONS_DS",1,2028,93.13
"Atlantis_00A","ID","CONS_DS",1,2029,95.74
"Atlantis_00A","ID","CONS_DS",1,2030,98.1399999999999
"Atlantis_00A","ID","CONS_DS",1,2031,100.3
"Atlantis_00A","ID","CONS_DS",1,2032,102.58
"Atlantis_00A","ID","CONS_DS",1,2033,104.96
"Atlantis_00A","ID","CONS_DS",1,2034,107.59
"Atlantis_00A","ID","CONS_DS",1,2035,110.5
"Atlantis_00A","ID","CONS_DS",1,2036,113.33
"Atlantis_00A","ID","CONS_DS",1,2037,116.17
"Atlantis_00A","ID","CONS_DS",1,2038,119.31
"Atlantis_00A","ID","CONS_DS",1,2039,122.51
"Atlantis_00A","ID","CONS_DS",1,2040,125.61
"Atlantis_00A","ID","CONS_DS",1,2041,127.54
"Atlantis_00A","ID","CONS_DS",1,2042,130.04
"Atlantis_00A","ID","CONS_DS",1,2043,132.51
"Atlantis_00A","ID","CONS_DS",1,2044,134.98
"Atlantis_00A","ID","CONS_DS",1,2045,137.47
