r,t,y,CapitalInvestment
"Atlantis_00A","CONS_BM",2035,0.00270808845812
"Atlantis_00A","CONS_BM",2036,0.002719
"Atlantis_00A","CONS_BM",2037,0.002766
"Atlantis_00A","CONS_BM",2038,0.002815
"Atlantis_00A","CONS_BM",2039,0.002865
"Atlantis_00A","CONS_BM",2040,0.002908
"Atlantis_00A","CONS_BM",2041,0.002925
"Atlantis_00A","CONS_BM",2042,0.002943
"Atlantis_00A","CONS_BM",2043,0.00296
"Atlantis_00A","CONS_BM",2044,0.002978
"Atlantis_00A","CONS_BM",2045,0.002996
"Atlantis_00A","CONS_BM",2046,0.003014
"Atlantis_00A","CONS_BM",2047,0.003032
"Atlantis_00A","CONS_BM",2048,0.003052
"Atlantis_00A","CONS_BM",2049,0.003071
"Atlantis_00A","CONS_BM",2050,0.003082
"Atlantis_00A","CONS_BM",2051,0.003101
"Atlantis_00A","CONS_BM",2052,0.00312
"Atlantis_00A","CONS_BM",2053,0.00314
"Atlantis_00A","CONS_BM",2054,0.003159
"Atlantis_00A","CONS_BM",2055,0.003179
"Atlantis_00A","CONS_DS",2014,0.00599
"Atlantis_00A","CONS_DS",2015,0.006073
"Atlantis_00A","CONS_DS",2016,0.006212
"Atlantis_00A","CONS_DS",2017,0.006772
"Atlantis_00A","CONS_DS",2018,0.006955
"Atlantis_00A","CONS_DS",2019,0.006954
"Atlantis_00A","CONS_DS",2020,0.006058
"Atlantis_00A","CONS_DS",2021,0.007182
"Atlantis_00A","CONS_DS",2022,0.007486
"Atlantis_00A","CONS_DS",2023,0.007794
"Atlantis_00A","CONS_DS",2024,0.008133
"Atlantis_00A","CONS_DS",2025,0.008514
"Atlantis_00A","CONS_DS",2026,0.008926
"Atlantis_00A","CONS_DS",2027,0.009261
"Atlantis_00A","CONS_DS",2028,0.009313
"Atlantis_00A","CONS_DS",2029,0.009574
"Atlantis_00A","CONS_DS",2030,0.009814
"Atlantis_00A","CONS_DS",2031,0.01003
"Atlantis_00A","CONS_DS",2032,0.010258
"Atlantis_00A","CONS_DS",2033,0.010496
"Atlantis_00A","CONS_DS",2034,0.010759
"Atlantis_00A","CONS_DS",2035,0.01105
"Atlantis_00A","CONS_DS",2036,0.011333
"Atlantis_00A","CONS_DS",2037,0.011617
"Atlantis_00A","CONS_DS",2038,0.011931
"Atlantis_00A","CONS_DS",2039,0.012251
"Atlantis_00A","CONS_DS",2040,0.012561
"Atlantis_00A","CONS_DS",2041,0.012754
"Atlantis_00A","CONS_DS",2042,0.013004
"Atlantis_00A","CONS_DS",2043,0.013251
"Atlantis_00A","CONS_DS",2044,0.013498
"Atlantis_00A","CONS_DS",2045,0.013747
"Atlantis_00A","CONS_DS",2046,0.014006
"Atlantis_00A","CONS_DS",2047,0.01428
"Atlantis_00A","CONS_DS",2048,0.01457
"Atlantis_00A","CONS_DS",2049,0.014845
"Atlantis_00A","CONS_DS",2050,0.01512
"Atlantis_00A","CONS_DS",2051,0.015395
"Atlantis_00A","CONS_DS",2052,0.015666
"Atlantis_00A","CONS_DS",2053,0.015933
"Atlantis_00A","CONS_DS",2054,0.0185108571428571
"Atlantis_00A","CONS_DS",2055,0.032912
"Atlantis_00A","CONS_HF",2014,0.013235
"Atlantis_00A","CONS_HF",2015,0.013722
"Atlantis_00A","CONS_HF",2016,0.014331
"Atlantis_00A","CONS_HF",2017,0.015116
"Atlantis_00A","CONS_HF",2018,0.015586
"Atlantis_00A","CONS_HF",2019,0.015899
"Atlantis_00A","CONS_HF",2020,0.013231
"Atlantis_00A","CONS_HF",2021,0.016381
"Atlantis_00A","CONS_HF",2022,0.017639
"Atlantis_00A","CONS_HF",2023,0.017815
"Atlantis_00A","CONS_HF",2024,0.017992
"Atlantis_00A","CONS_HF",2025,0.018174
"Atlantis_00A","CONS_HF",2026,0.018358
"Atlantis_00A","CONS_HF",2027,0.018546
"Atlantis_00A","CONS_HF",2028,0.018737
"Atlantis_00A","CONS_HF",2029,0.018932
"Atlantis_00A","CONS_HF",2030,0.019043
"Atlantis_00A","CONS_HF",2031,0.019288
"Atlantis_00A","CONS_HF",2032,0.019539
"Atlantis_00A","CONS_HF",2033,0.019794
"Atlantis_00A","CONS_HF",2034,0.020054
"Atlantis_00A","CONS_HF",2035,0.020271
"Atlantis_00A","CONS_HF",2036,0.020452
"Atlantis_00A","CONS_HF",2037,0.020637
"Atlantis_00A","CONS_HF",2038,0.020823
"Atlantis_00A","CONS_HF",2039,0.021013
"Atlantis_00A","CONS_HF",2040,0.02118
"Atlantis_00A","CONS_HF",2041,0.02124
"Atlantis_00A","CONS_HF",2042,0.021302
"Atlantis_00A","CONS_HF",2043,0.021362
"Atlantis_00A","CONS_HF",2044,0.021425
"Atlantis_00A","CONS_HF",2045,0.021487
"Atlantis_00A","CONS_HF",2046,0.021548
"Atlantis_00A","CONS_HF",2047,0.02161
"Atlantis_00A","CONS_HF",2048,0.021673
"Atlantis_00A","CONS_HF",2049,0.021736
"Atlantis_00A","CONS_HF",2050,0.021786
"Atlantis_00A","CONS_HF",2051,0.021849
"Atlantis_00A","CONS_HF",2052,0.0250434285714286
"Atlantis_00A","CONS_HF",2053,0.0293026666666667
"Atlantis_00A","CONS_HF",2054,0.0293893333333333
"Atlantis_00A","CONS_HF",2055,0.029476
"Atlantis_00A","CONS_NG",2014,0.0062107048680086
"Atlantis_00A","CONS_NG",2015,0.00634675127774402
"Atlantis_00A","CONS_NG",2016,0.00650375127774402
"Atlantis_00A","CONS_NG",2017,0.00656189922205497
